,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,PassMath
153,female,group C,,free/reduced,completed,single,regularly,yes,4,private,> 10,no
154,female,group C,bachelor's degree,free/reduced,completed,divorced,sometimes,no,3,private,< 5,yes
155,female,group C,associate's degree,standard,none,married,sometimes,no,1,private,5 - 10,no
156,female,group C,high school,free/reduced,none,divorced,regularly,yes,1,school_bus,< 5,no
158,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,5 - 10,yes
160,male,group D,some college,standard,none,married,never,no,1,school_bus,< 5,yes
161,male,group A,some college,standard,none,married,regularly,no,1,private,> 10,yes
162,female,group C,bachelor's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,no
163,female,group C,bachelor's degree,free/reduced,none,married,regularly,no,4,school_bus,5 - 10,no
164,female,group C,bachelor's degree,standard,none,single,never,yes,3,school_bus,5 - 10,no
166,male,group C,associate's degree,standard,none,married,sometimes,yes,1,school_bus,5 - 10,yes
167,male,group D,master's degree,standard,none,married,regularly,yes,3,,5 - 10,yes
168,female,group C,associate's degree,free/reduced,none,widowed,sometimes,yes,3,school_bus,5 - 10,no
170,male,group B,,free/reduced,completed,married,sometimes,yes,0,school_bus,5 - 10,yes
171,male,group C,some high school,standard,completed,married,sometimes,no,1,private,5 - 10,no
173,male,group C,some college,standard,completed,,regularly,yes,2,private,> 10,yes
174,female,group A,some college,standard,none,single,regularly,yes,2,school_bus,5 - 10,no
175,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,3,private,5 - 10,no
176,male,group B,high school,free/reduced,completed,married,never,yes,5,private,< 5,no
177,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,no
178,female,group B,high school,free/reduced,completed,married,,yes,,school_bus,5 - 10,no
179,female,group C,bachelor's degree,free/reduced,none,divorced,sometimes,yes,2,private,5 - 10,no
180,male,group D,associate's degree,free/reduced,,married,never,no,2,school_bus,> 10,yes
181,male,group D,some high school,standard,,single,regularly,yes,3,private,5 - 10,yes
182,female,group C,some college,standard,none,divorced,sometimes,no,2,private,< 5,no
183,male,group D,some college,free/reduced,,married,regularly,no,2,private,< 5,yes
184,male,group D,some college,free/reduced,none,married,regularly,yes,2,school_bus,< 5,no
185,male,,high school,standard,none,married,sometimes,yes,3,school_bus,< 5,yes
186,female,,,standard,completed,,never,no,2,private,5 - 10,yes
187,female,group B,associate's degree,free/reduced,none,married,regularly,yes,5,school_bus,< 5,no
188,male,group C,,free/reduced,none,married,never,no,3,school_bus,5 - 10,no
189,male,group C,some college,standard,completed,married,sometimes,yes,3,school_bus,> 10,yes
190,female,group A,some college,standard,none,married,sometimes,no,4,,< 5,yes
191,male,group C,,standard,none,,regularly,yes,2,school_bus,5 - 10,yes
192,female,group C,some high school,free/reduced,,single,regularly,no,2,,< 5,no
194,male,group B,high school,standard,completed,married,regularly,no,4,school_bus,5 - 10,yes
195,female,group B,some college,standard,none,single,regularly,yes,1,school_bus,5 - 10,no
196,female,group B,some high school,free/reduced,none,married,regularly,yes,1,private,< 5,no
197,male,,bachelor's degree,standard,completed,single,sometimes,yes,0,private,< 5,yes
198,male,group D,bachelor's degree,free/reduced,none,married,regularly,yes,2,school_bus,< 5,yes
199,male,group B,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,no
200,female,group E,bachelor's degree,standard,none,divorced,sometimes,no,2,,5 - 10,yes
201,female,group B,some college,standard,completed,married,never,yes,5,private,5 - 10,yes
202,female,group E,associate's degree,free/reduced,none,single,regularly,yes,0,private,< 5,yes
203,male,group E,high school,standard,completed,single,sometimes,yes,2,school_bus,> 10,yes
204,male,group B,associate's degree,free/reduced,completed,divorced,sometimes,no,3,school_bus,> 10,yes
206,female,group E,associate's degree,free/reduced,,single,sometimes,no,2,school_bus,5 - 10,yes
207,male,group D,some high school,standard,completed,married,sometimes,yes,1,school_bus,< 5,yes
208,female,group E,master's degree,standard,none,single,regularly,yes,1,school_bus,< 5,yes
209,male,group B,some college,free/reduced,none,divorced,never,yes,2,school_bus,5 - 10,yes
210,female,group C,high school,free/reduced,none,single,sometimes,no,4,school_bus,5 - 10,yes
211,female,group D,some high school,standard,completed,married,sometimes,yes,2,school_bus,5 - 10,yes
212,male,,bachelor's degree,standard,none,married,sometimes,yes,0,school_bus,5 - 10,yes
213,male,group E,associate's degree,free/reduced,,married,regularly,,2,,< 5,yes
214,female,group C,,standard,completed,divorced,,yes,2,private,5 - 10,no
215,male,group E,some high school,standard,none,married,sometimes,yes,2,school_bus,< 5,yes
216,male,group B,master's degree,standard,none,single,sometimes,yes,0,private,5 - 10,yes
217,female,group B,associate's degree,standard,none,married,regularly,yes,,,5 - 10,no
218,male,group C,some college,standard,completed,,regularly,no,1,,> 10,yes
219,female,group D,associate's degree,standard,none,married,never,no,3,,5 - 10,no
220,female,group A,associate's degree,standard,completed,divorced,,yes,0,school_bus,5 - 10,yes
221,male,group D,some high school,standard,none,married,,yes,4,school_bus,< 5,no
222,male,group C,some high school,free/reduced,none,married,regularly,no,1,school_bus,< 5,no
223,male,group D,high school,standard,none,married,regularly,yes,1,,> 10,yes
224,male,,master's degree,standard,completed,married,sometimes,yes,3,private,5 - 10,yes
225,male,group B,high school,free/reduced,none,married,sometimes,no,1,school_bus,5 - 10,yes
226,male,group D,some high school,standard,none,married,regularly,no,2,private,< 5,no
227,male,group B,,standard,none,married,sometimes,yes,3,private,5 - 10,yes
228,female,group C,associate's degree,standard,none,married,sometimes,yes,3,school_bus,5 - 10,yes
229,male,group C,high school,free/reduced,none,married,never,no,1,school_bus,> 10,no
230,male,group C,some high school,standard,none,married,never,yes,1,,< 5,yes
231,female,group E,some high school,standard,,divorced,sometimes,yes,1,school_bus,5 - 10,yes
232,male,group B,high school,standard,none,single,sometimes,yes,1,school_bus,> 10,yes
233,male,group D,some college,standard,none,married,sometimes,no,2,,5 - 10,yes
235,female,group C,some college,standard,none,single,regularly,yes,3,school_bus,< 5,no
236,female,group D,master's degree,free/reduced,completed,married,regularly,yes,3,school_bus,,yes
237,male,group D,associate's degree,standard,none,single,sometimes,yes,2,private,,yes
238,male,group C,master's degree,free/reduced,none,married,never,yes,3,school_bus,5 - 10,no
239,female,group B,high school,standard,none,married,never,yes,3,school_bus,5 - 10,no
240,female,,,standard,,married,sometimes,yes,5,school_bus,< 5,no
241,male,group D,associate's degree,free/reduced,none,,regularly,no,,private,5 - 10,yes
242,female,group C,some college,free/reduced,none,married,regularly,yes,2,school_bus,> 10,yes
243,female,group B,some college,standard,none,married,sometimes,no,1,school_bus,5 - 10,no
244,female,group C,some high school,standard,none,single,never,yes,1,private,5 - 10,no
245,male,group C,associate's degree,standard,none,single,sometimes,yes,1,school_bus,5 - 10,yes
246,male,group C,master's degree,free/reduced,none,married,regularly,no,3,school_bus,< 5,yes
247,male,group C,high school,standard,none,married,regularly,yes,4,private,,yes
248,male,group B,some college,free/reduced,none,divorced,regularly,yes,0,school_bus,5 - 10,no
249,female,group C,some college,standard,completed,single,sometimes,yes,2,private,5 - 10,no
250,female,group D,some college,standard,none,single,regularly,yes,3,school_bus,5 - 10,no
251,female,group C,associate's degree,standard,none,married,sometimes,no,3,private,5 - 10,no
252,female,group D,bachelor's degree,standard,none,married,regularly,yes,1,,< 5,yes
253,male,group C,some high school,free/reduced,none,married,regularly,no,3,school_bus,5 - 10,no
255,male,group D,some high school,standard,completed,divorced,never,yes,4,school_bus,> 10,yes
256,female,group B,some college,free/reduced,,divorced,sometimes,yes,1,private,< 5,no
257,male,group E,bachelor's degree,standard,none,widowed,sometimes,yes,0,school_bus,5 - 10,yes
258,female,group D,associate's degree,standard,,married,never,yes,4,school_bus,5 - 10,no
259,male,group E,some college,free/reduced,completed,married,regularly,yes,3,school_bus,5 - 10,yes
261,male,group C,associate's degree,standard,none,married,sometimes,yes,2,,> 10,yes
262,male,group D,associate's degree,standard,none,divorced,sometimes,no,2,school_bus,5 - 10,yes
264,male,group C,master's degree,standard,none,single,regularly,no,1,,5 - 10,yes
265,male,group B,master's degree,standard,completed,divorced,sometimes,yes,3,school_bus,5 - 10,yes
266,female,group D,associate's degree,standard,completed,married,regularly,no,3,private,5 - 10,yes
267,female,group D,associate's degree,standard,none,married,sometimes,yes,3,private,< 5,yes
268,female,group E,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,1,school_bus,5 - 10,yes
269,male,group D,some high school,standard,none,married,regularly,yes,2,school_bus,< 5,yes
270,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,no
271,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,3,school_bus,5 - 10,no
272,male,group D,high school,standard,,divorced,regularly,no,2,school_bus,> 10,yes
273,male,group C,bachelor's degree,standard,completed,married,regularly,yes,0,school_bus,5 - 10,yes
274,male,group C,associate's degree,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,no
275,female,group B,high school,standard,completed,married,never,yes,3,private,> 10,no
276,female,group B,high school,standard,,divorced,regularly,yes,1,school_bus,5 - 10,yes
277,male,group C,master's degree,free/reduced,none,divorced,sometimes,no,2,school_bus,5 - 10,yes
278,female,group D,some high school,standard,none,married,never,yes,0,school_bus,< 5,no
279,female,group B,high school,free/reduced,completed,divorced,regularly,no,1,school_bus,5 - 10,yes
280,male,group B,high school,standard,none,divorced,sometimes,yes,2,private,5 - 10,yes
281,male,group C,bachelor's degree,standard,none,divorced,regularly,no,5,school_bus,,no
282,male,group D,some college,standard,none,married,sometimes,no,3,school_bus,5 - 10,yes
283,male,group C,bachelor's degree,standard,none,single,sometimes,yes,1,private,5 - 10,yes
284,female,group E,some college,standard,completed,married,sometimes,yes,3,private,5 - 10,yes
285,male,group C,some college,standard,none,single,regularly,yes,1,,5 - 10,no
286,male,group C,some college,standard,none,married,regularly,yes,2,school_bus,,yes
287,male,group C,associate's degree,free/reduced,none,married,regularly,yes,2,school_bus,5 - 10,no
288,male,group B,high school,standard,none,married,sometimes,yes,3,private,5 - 10,yes
289,male,group B,some high school,standard,none,married,never,no,1,school_bus,< 5,yes
290,female,group C,some college,standard,none,married,sometimes,yes,7,school_bus,> 10,no
291,female,group D,master's degree,standard,none,married,never,no,1,private,5 - 10,yes
292,male,group B,high school,free/reduced,none,married,regularly,yes,1,school_bus,< 5,no
293,male,group B,some high school,free/reduced,none,single,sometimes,yes,1,school_bus,5 - 10,no
294,female,group D,high school,free/reduced,none,married,regularly,no,1,school_bus,> 10,no
295,female,,,standard,,married,,no,2,school_bus,< 5,yes
296,female,group C,some high school,free/reduced,none,married,sometimes,,4,school_bus,> 10,no
298,male,group C,some college,standard,none,married,regularly,yes,2,school_bus,> 10,yes
300,female,group E,bachelor's degree,standard,none,divorced,regularly,no,1,school_bus,5 - 10,yes
301,male,group E,high school,free/reduced,completed,married,sometimes,yes,2,private,5 - 10,yes
302,female,group D,some high school,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,yes
303,female,group D,associate's degree,free/reduced,none,single,never,no,3,school_bus,< 5,yes
304,male,group D,associate's degree,standard,,married,sometimes,yes,1,school_bus,5 - 10,yes
305,male,group D,some college,standard,none,divorced,never,yes,4,private,5 - 10,no
306,female,,associate's degree,standard,completed,married,regularly,yes,2,private,5 - 10,yes
307,female,group C,some high school,standard,completed,married,sometimes,no,5,school_bus,< 5,yes
308,female,group E,associate's degree,standard,none,married,regularly,yes,3,private,5 - 10,yes
309,female,group C,associate's degree,standard,none,single,regularly,yes,1,private,< 5,yes
310,female,group C,high school,free/reduced,none,married,regularly,no,1,school_bus,5 - 10,no
311,female,group C,high school,standard,none,divorced,sometimes,yes,6,private,> 10,yes
313,male,group C,high school,standard,completed,married,regularly,yes,5,private,< 5,yes
314,male,group D,bachelor's degree,free/reduced,,married,regularly,yes,1,private,5 - 10,yes
315,female,group C,some college,standard,none,married,sometimes,no,1,school_bus,5 - 10,yes
316,male,group D,associate's degree,standard,none,married,sometimes,yes,2,private,,yes
317,female,group E,,free/reduced,completed,single,sometimes,no,1,private,< 5,yes
318,male,group E,associate's degree,standard,completed,married,sometimes,yes,2,private,> 10,no
319,female,group B,some high school,standard,completed,married,sometimes,yes,2,private,5 - 10,yes
321,male,group C,master's degree,free/reduced,none,divorced,regularly,no,2,school_bus,5 - 10,yes
322,female,group B,some college,standard,none,divorced,sometimes,yes,4,private,< 5,yes
323,female,group C,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,no
324,female,group B,some college,free/reduced,none,married,regularly,no,1,private,5 - 10,yes
325,male,group E,bachelor's degree,standard,,single,sometimes,no,1,private,5 - 10,yes
326,male,group D,high school,standard,completed,married,regularly,yes,1,school_bus,5 - 10,yes
327,female,group C,,standard,,married,sometimes,yes,2,private,5 - 10,yes
328,female,group B,master's degree,free/reduced,,married,never,yes,3,,5 - 10,yes
329,male,group C,,free/reduced,completed,divorced,regularly,yes,3,school_bus,5 - 10,yes
330,female,group D,high school,free/reduced,none,divorced,never,yes,2,school_bus,> 10,yes
331,male,group D,some college,free/reduced,,married,sometimes,no,5,school_bus,< 5,no
332,female,group A,bachelor's degree,standard,none,married,sometimes,no,3,private,5 - 10,yes
333,male,group C,associate's degree,standard,completed,married,sometimes,no,2,school_bus,5 - 10,yes
334,female,group C,some college,free/reduced,completed,single,regularly,yes,2,private,5 - 10,yes
335,female,group D,high school,free/reduced,none,married,sometimes,no,1,school_bus,5 - 10,yes
336,male,group C,associate's degree,standard,none,single,sometimes,yes,,school_bus,< 5,yes
337,male,group B,high school,free/reduced,completed,single,sometimes,yes,1,school_bus,< 5,yes
338,male,group C,master's degree,free/reduced,none,married,regularly,,1,school_bus,5 - 10,no
339,female,group C,some college,free/reduced,none,married,sometimes,no,2,private,,yes
341,female,group D,high school,standard,none,,sometimes,yes,0,school_bus,5 - 10,no
342,male,,some high school,standard,none,married,regularly,no,1,school_bus,< 5,yes
343,female,group A,some high school,standard,none,divorced,sometimes,no,,school_bus,5 - 10,yes
344,male,group C,master's degree,standard,completed,single,regularly,yes,0,school_bus,< 5,yes
345,male,group D,master's degree,standard,none,married,regularly,yes,,school_bus,5 - 10,yes
346,female,group E,some college,standard,none,married,regularly,yes,3,private,< 5,yes
347,male,,master's degree,standard,completed,married,regularly,yes,2,school_bus,5 - 10,yes
348,female,group C,associate's degree,standard,none,married,sometimes,no,,school_bus,< 5,yes
349,male,,associate's degree,free/reduced,none,married,regularly,no,2,school_bus,5 - 10,no
350,male,group E,some college,standard,none,single,sometimes,yes,4,school_bus,5 - 10,yes
351,male,group D,high school,standard,completed,married,sometimes,no,1,school_bus,5 - 10,no
352,male,group D,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,no
353,female,group C,high school,free/reduced,none,single,regularly,no,1,school_bus,< 5,no
354,male,group C,high school,free/reduced,none,divorced,regularly,yes,1,,5 - 10,yes
355,female,group D,some high school,standard,none,single,regularly,yes,3,private,> 10,yes
356,female,group D,master's degree,free/reduced,none,married,regularly,yes,0,private,> 10,yes
357,male,group D,associate's degree,standard,none,married,regularly,yes,3,private,> 10,yes
358,female,group D,high school,free/reduced,none,married,regularly,yes,1,school_bus,,yes
359,female,group D,master's degree,free/reduced,none,married,never,yes,6,private,5 - 10,yes
360,male,group D,high school,standard,none,single,,yes,3,school_bus,> 10,yes
361,male,group C,some high school,standard,none,married,regularly,yes,2,private,5 - 10,no
362,male,group B,bachelor's degree,standard,completed,,never,no,3,,5 - 10,yes
363,female,group C,some college,standard,none,single,sometimes,no,1,school_bus,< 5,yes
364,female,group C,associate's degree,free/reduced,none,married,regularly,no,4,private,< 5,no
365,male,group C,associate's degree,standard,,married,sometimes,yes,3,school_bus,5 - 10,yes
366,male,group C,high school,free/reduced,none,married,sometimes,no,3,private,5 - 10,yes
367,male,group C,high school,free/reduced,completed,,regularly,yes,2,private,5 - 10,yes
368,female,,associate's degree,free/reduced,none,widowed,sometimes,yes,1,school_bus,5 - 10,no
369,male,group C,some college,standard,none,married,never,no,4,private,5 - 10,yes
371,male,group C,bachelor's degree,standard,none,divorced,sometimes,no,4,school_bus,5 - 10,yes
372,male,group D,bachelor's degree,standard,none,single,sometimes,yes,1,,5 - 10,yes
373,female,group C,some college,free/reduced,none,single,sometimes,yes,3,private,5 - 10,no
374,female,group D,some high school,standard,none,,sometimes,yes,0,school_bus,< 5,no
375,male,group B,some college,standard,none,married,sometimes,no,,school_bus,5 - 10,no
376,female,group E,some college,standard,,divorced,regularly,yes,4,school_bus,5 - 10,no
377,male,group C,some high school,standard,completed,married,regularly,yes,1,school_bus,5 - 10,yes
378,female,group D,,standard,none,,never,yes,3,,> 10,yes
379,male,group C,some college,free/reduced,,married,regularly,yes,1,private,< 5,yes
380,female,group B,bachelor's degree,standard,completed,married,regularly,yes,1,,5 - 10,yes
382,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,3,school_bus,5 - 10,yes
383,female,group B,some college,standard,none,single,regularly,no,1,,< 5,yes
384,female,group B,high school,standard,completed,divorced,regularly,yes,1,school_bus,5 - 10,yes
385,female,group B,some college,free/reduced,none,divorced,sometimes,yes,5,school_bus,5 - 10,no
386,male,group E,some high school,free/reduced,none,married,never,yes,0,school_bus,> 10,yes
387,female,group C,master's degree,free/reduced,none,divorced,never,yes,2,school_bus,5 - 10,no
388,male,group C,associate's degree,standard,none,married,regularly,no,2,school_bus,> 10,no
389,male,group A,,standard,none,married,sometimes,no,3,school_bus,5 - 10,yes
390,male,group C,high school,standard,,married,never,yes,2,school_bus,5 - 10,yes
391,male,group B,associate's degree,standard,none,married,sometimes,no,3,,< 5,yes
392,male,group E,associate's degree,free/reduced,none,single,never,yes,1,school_bus,5 - 10,yes
393,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,3,private,5 - 10,no
394,female,group A,some college,standard,none,single,regularly,yes,2,school_bus,5 - 10,no
395,female,group C,some high school,standard,none,single,sometimes,yes,1,school_bus,5 - 10,yes
396,male,group A,,standard,none,married,regularly,yes,0,school_bus,5 - 10,no
397,female,group B,high school,free/reduced,none,married,regularly,yes,0,school_bus,< 5,no
398,male,group D,bachelor's degree,free/reduced,completed,single,sometimes,no,2,private,5 - 10,yes
399,male,group D,some high school,free/reduced,none,single,sometimes,no,,school_bus,< 5,no
400,male,group E,some high school,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
401,female,group B,,free/reduced,none,single,regularly,no,,private,5 - 10,yes
402,female,group E,some college,free/reduced,completed,divorced,sometimes,no,1,private,5 - 10,yes
403,female,group D,bachelor's degree,free/reduced,,single,sometimes,yes,2,school_bus,5 - 10,no
404,female,group C,master's degree,standard,none,married,regularly,yes,2,school_bus,< 5,yes
405,female,group E,associate's degree,free/reduced,,single,sometimes,no,,school_bus,5 - 10,yes
406,female,group C,some high school,standard,none,married,regularly,yes,3,school_bus,> 10,yes
407,female,group C,,standard,,single,regularly,no,,private,5 - 10,yes
408,female,group D,associate's degree,free/reduced,completed,married,regularly,no,3,,5 - 10,no
409,female,group B,some high school,free/reduced,,married,sometimes,yes,1,school_bus,5 - 10,no
410,male,group E,high school,free/reduced,none,married,regularly,no,2,school_bus,5 - 10,yes
411,female,group A,some college,standard,none,married,regularly,yes,1,private,< 5,yes
412,male,group B,associate's degree,standard,none,married,regularly,no,,private,5 - 10,no
413,male,group D,high school,standard,none,single,sometimes,yes,2,private,5 - 10,yes
414,male,group A,high school,standard,none,,never,yes,0,school_bus,> 10,no
415,male,group A,high school,standard,none,married,sometimes,no,7,private,5 - 10,yes
416,male,group E,associate's degree,free/reduced,completed,married,regularly,no,4,school_bus,5 - 10,yes
418,male,group B,high school,standard,none,married,sometimes,yes,6,school_bus,< 5,yes
419,male,group D,associate's degree,free/reduced,completed,single,sometimes,yes,0,,5 - 10,yes
420,female,,some college,standard,completed,married,regularly,no,3,school_bus,< 5,yes
421,female,group C,some high school,standard,completed,single,never,yes,0,school_bus,5 - 10,yes
422,male,group B,master's degree,standard,completed,married,never,yes,2,school_bus,5 - 10,yes
423,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,no
424,male,group C,high school,standard,,married,regularly,yes,3,school_bus,5 - 10,yes
425,male,group B,some college,standard,none,single,never,yes,4,school_bus,< 5,yes
426,male,group B,bachelor's degree,standard,none,married,never,yes,1,school_bus,5 - 10,yes
427,male,group E,,standard,,married,sometimes,no,2,private,5 - 10,yes
428,female,group D,high school,standard,none,single,never,yes,2,private,5 - 10,yes
429,female,group D,associate's degree,standard,completed,married,sometimes,yes,2,school_bus,> 10,yes
430,male,group D,associate's degree,free/reduced,none,single,regularly,no,4,private,> 10,no
431,male,group E,associate's degree,standard,none,married,sometimes,yes,,school_bus,< 5,no
432,male,group D,associate's degree,standard,none,divorced,regularly,yes,3,private,5 - 10,yes
433,female,group D,master's degree,standard,completed,single,sometimes,yes,0,private,,yes
434,female,group C,associate's degree,standard,,married,regularly,yes,,school_bus,< 5,yes
435,female,group D,master's degree,standard,none,single,regularly,no,1,private,5 - 10,yes
436,female,group C,,free/reduced,none,married,regularly,yes,2,private,5 - 10,yes
437,male,group C,some high school,standard,none,married,sometimes,yes,1,,5 - 10,yes
438,female,group C,master's degree,standard,,single,sometimes,no,3,private,5 - 10,yes
439,male,group E,high school,standard,completed,married,sometimes,no,1,school_bus,> 10,yes
440,male,group C,master's degree,standard,completed,married,sometimes,no,4,,> 10,yes
441,female,group D,high school,standard,none,married,regularly,yes,0,,5 - 10,yes
442,female,group D,master's degree,standard,none,married,sometimes,no,5,school_bus,< 5,yes
443,male,group E,some high school,standard,none,married,regularly,no,3,private,> 10,yes
444,male,group E,some college,standard,none,divorced,never,yes,,school_bus,< 5,yes
445,female,group D,master's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,yes
446,female,group D,some high school,standard,none,married,sometimes,no,6,private,5 - 10,yes
448,female,group A,high school,free/reduced,completed,married,regularly,yes,0,private,5 - 10,no
449,female,group C,some high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,yes
450,female,group C,,free/reduced,completed,married,regularly,yes,0,private,5 - 10,yes
451,male,group C,some high school,free/reduced,completed,divorced,regularly,yes,2,school_bus,< 5,yes
452,female,group C,some college,standard,,married,sometimes,yes,3,school_bus,5 - 10,yes
453,female,group A,high school,standard,completed,divorced,regularly,yes,2,private,< 5,yes
454,female,,bachelor's degree,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,no
455,female,group C,some high school,standard,none,single,sometimes,yes,2,,5 - 10,no
456,female,,some college,standard,completed,single,sometimes,,,private,< 5,yes
457,male,group E,some high school,standard,none,married,regularly,yes,,school_bus,5 - 10,yes
458,female,group D,master's degree,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,no
459,male,group B,master's degree,free/reduced,none,married,sometimes,no,,school_bus,< 5,yes
460,male,group E,high school,standard,none,married,sometimes,yes,5,school_bus,5 - 10,yes
461,female,group E,,standard,none,divorced,regularly,yes,4,private,5 - 10,yes
462,male,group D,associate's degree,standard,none,divorced,sometimes,yes,0,private,5 - 10,yes
463,male,group C,,free/reduced,completed,married,sometimes,yes,,school_bus,> 10,no
464,male,group D,associate's degree,standard,none,married,regularly,yes,1,private,> 10,yes
465,female,group D,some college,free/reduced,completed,married,regularly,yes,5,,5 - 10,yes
466,male,group D,associate's degree,standard,none,married,regularly,no,1,private,5 - 10,yes
467,male,,high school,standard,none,single,sometimes,no,5,school_bus,< 5,yes
468,female,group B,high school,standard,none,divorced,sometimes,yes,1,private,< 5,no
469,female,,high school,free/reduced,none,married,sometimes,no,3,private,< 5,no
470,female,group A,associate's degree,standard,none,married,sometimes,yes,5,school_bus,< 5,yes
471,female,group A,some high school,standard,completed,married,regularly,yes,1,private,< 5,no
472,male,group D,bachelor's degree,standard,completed,single,regularly,yes,2,,< 5,yes
473,male,group B,high school,standard,completed,single,sometimes,yes,1,school_bus,5 - 10,yes
474,male,group E,high school,standard,completed,married,sometimes,yes,5,school_bus,< 5,no
475,female,group C,associate's degree,standard,completed,single,sometimes,no,2,,5 - 10,no
476,male,group D,high school,standard,none,divorced,regularly,yes,3,school_bus,> 10,yes
478,female,,high school,standard,none,single,regularly,no,2,school_bus,5 - 10,yes
479,female,group C,high school,standard,none,married,sometimes,yes,3,school_bus,< 5,yes
480,female,group B,,free/reduced,completed,single,sometimes,yes,2,private,5 - 10,no
481,male,group C,associate's degree,standard,none,single,sometimes,yes,5,,5 - 10,yes
482,male,group D,some college,standard,none,married,never,no,1,school_bus,5 - 10,yes
483,female,group E,bachelor's degree,standard,none,,sometimes,no,,private,5 - 10,yes
484,female,group B,associate's degree,standard,none,married,sometimes,no,4,private,5 - 10,no
485,female,group C,some college,standard,none,married,sometimes,no,3,school_bus,5 - 10,yes
486,male,group C,high school,standard,none,married,regularly,yes,0,school_bus,5 - 10,yes
487,female,group D,some high school,standard,completed,married,sometimes,no,1,school_bus,5 - 10,no
488,male,group B,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,yes
489,male,group A,some college,standard,none,married,sometimes,yes,3,private,,yes
490,female,group A,associate's degree,free/reduced,none,divorced,sometimes,no,1,private,5 - 10,no
492,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,,private,5 - 10,yes
493,male,group B,bachelor's degree,standard,completed,,regularly,yes,5,private,5 - 10,yes
494,female,group A,some high school,standard,none,married,sometimes,yes,2,school_bus,5 - 10,no
496,female,group C,associate's degree,standard,completed,married,sometimes,yes,5,school_bus,5 - 10,yes
497,male,group D,associate's degree,free/reduced,completed,divorced,sometimes,yes,0,school_bus,< 5,yes
498,male,group A,master's degree,free/reduced,none,married,sometimes,no,1,private,,no
499,female,group C,some high school,standard,completed,single,regularly,no,1,school_bus,5 - 10,yes
501,female,group D,some high school,standard,none,married,sometimes,yes,3,school_bus,5 - 10,yes
502,female,group C,some college,standard,none,,regularly,no,2,school_bus,5 - 10,no
503,female,group D,bachelor's degree,free/reduced,none,single,sometimes,yes,0,private,5 - 10,yes
504,male,group C,associate's degree,free/reduced,none,married,,yes,1,school_bus,< 5,no
505,female,,some college,standard,none,single,sometimes,yes,6,private,> 10,yes
506,male,group E,associate's degree,standard,completed,divorced,sometimes,yes,1,private,> 10,yes
507,female,group B,some college,free/reduced,none,married,never,yes,5,private,< 5,no
508,female,group D,some college,free/reduced,none,married,regularly,yes,2,,5 - 10,no
509,female,group D,some high school,standard,completed,married,sometimes,no,2,school_bus,< 5,yes
510,female,group D,associate's degree,standard,completed,single,sometimes,no,7,private,< 5,yes
511,male,group A,some college,standard,completed,married,sometimes,yes,2,school_bus,< 5,yes
512,male,group C,associate's degree,free/reduced,none,divorced,regularly,no,4,private,5 - 10,no
513,male,,associate's degree,standard,none,single,regularly,yes,1,school_bus,5 - 10,yes
514,male,group C,some college,standard,none,widowed,sometimes,no,3,,5 - 10,yes
515,female,group D,master's degree,free/reduced,none,married,sometimes,yes,1,private,> 10,no
516,male,group C,some high school,free/reduced,none,single,sometimes,no,1,,< 5,yes
517,male,group D,bachelor's degree,standard,completed,single,regularly,yes,,school_bus,< 5,yes
518,female,group A,some high school,free/reduced,none,married,regularly,no,1,private,5 - 10,no
519,male,group C,high school,standard,none,married,regularly,no,1,private,> 10,yes
520,female,group C,associate's degree,standard,none,married,regularly,yes,,school_bus,> 10,yes
521,male,group D,some high school,standard,none,single,regularly,yes,5,school_bus,5 - 10,yes
522,female,group B,high school,standard,none,single,never,yes,4,school_bus,5 - 10,no
523,female,group C,associate's degree,free/reduced,,single,regularly,yes,0,private,< 5,no
524,female,group B,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,yes
525,male,group D,some high school,standard,completed,divorced,regularly,no,1,school_bus,< 5,yes
